num_training_volumes,avg_f1_score,avg_precision,avg_recall
1,0.8732172411892933,0.8791910373733661,0.8675766238788757
2,0.8831550940539837,0.8982486156855906,0.8689558952696436
3,0.9011661662497548,0.9080851560802322,0.8946201353533972
4,0.8992801220259286,0.9119332551984153,0.8872031447145866
5,0.9075667466015743,0.9146580176640061,0.9009025265336387
6,0.9087508386242352,0.9198078287032795,0.8980685847017301
7,0.9121193757460943,0.9297176749838268,0.8953908940716476
8,0.9186451529384789,0.9360468930341068,0.901916457123554
9,0.9156076898012382,0.9341755319148937,0.8977635782747604
