noise,avg_f1_score,avg_precision,avg_recall
0,0.6778305748817989,0.6379164215268819,0.7244405507675734
2.5,0.7509386716000996,0.6989457708206709,0.8122452157720529
5,0.7797741879361463,0.7240606719607742, 0.8464038932623289
7.5,0.8381598763455855,0.8149953632568705,0.8631575398329402
10,0.8709132158351398,0.8632634732263128,0.8790058774736972
12.5,0.8827599259986342,0.8861379832376928,0.8799201915416196
15,0.8923007024685902,0.9267824093186142,0.8608706866201418
17.5,0.9057204825384823,0.9199396893187979,0.8920038406436004
20,0.9084366418529909,0.9085257530509185,0.9086870329396121
22.5,0.9094702918354307,0.9174086693788214,0.901768530140731
25,0.9110654472799854,0.9355737391729182,0.887873114697665
